municipio_ano,pib
11000152002,"111290,995"
11000232002,"449592,816"
11000312002,"31767,52"
11000492002,"474443,097"
11000562002,"79173,614"
11000642002,"87253,575"
11000722002,"45164,841"
11000802002,"37308,37"
11000982002,"119311,538"
11001062002,"174680,462"
11001142002,"306157,578"
11001222002,"657399,93"
11001302002,"83828,417"
11001482002,"65740,116"
11001552002,"191704,391"
11001892002,"180336,884"
11002052002,"2325673,091"
11002542002,"93482,324"
11002622002,"15549,444"
11002882002,"231270,037"
11002962002,"46044,621"
11003042002,"448260,273"
11003202002,"73737,417"
11003382002,"51341,322"
11003462002,"66869,042"
11003792002,"46139,178"
11004032002,"45060,464"
11004522002,"97946,328"
11005022002,"46574,951"
11006012002,"27706,768"
11007002002,"34792,536"
11008092002,"61407,339"
11009082002,"18452,669"
11009242002,"37622,117"
11009402002,"33917,474"
11010052002,"43978,728"
11011042002,"37463,083"
11012032002,"37732,133"
11013022002,"45238,859"
11014012002,"49520,475"
11014352002,"28852,437"
11014502002,"15885,707"
11014682002,"14809,234"
11014762002,"18167,129"
11014842002,"23123,765"
11014922002,"49112,809"
11015002002,"39708,261"
11015592002,"20170,405"
11016092002,"40170,849"
11017082002,"47557,901"
11017572002,"24444,492"
11018072002,"34692,08"
12000132002,"39622,197"
12000542002,"12788,642"
12001042002,"72996,862"
12001382002,"26742,526"
12001792002,"32492,341"
12002032002,"262001,725"
12002522002,"53796,568"
12003022002,"72818,537"
12003282002,"14548,504"
12003362002,"31110,925"
12003442002,"19935,774"
12003512002,"26714,168"
12003852002,"54087,545"
12003932002,"16533,397"
12004012002,"1840092,659"
12004272002,"26748,75"
12004352002,"9012,004"
12004502002,"72770,294"
12005002002,"125409,625"
12006092002,"78553,406"
12007082002,"42069,83"
12008072002,"40454,998"
13000292002,"30812,377"
13000602002,"12273,035"
13000862002,"17876,95"
13001022002,"26339,6"
13001442002,"38007,163"
13002012002,"20205,237"
13003002002,"76038,932"
13004092002,"34278,94"
13005082002,"42637,543"
13006072002,"57997,917"
13006312002,"23694,456"
13006802002,"17068,348"
13007062002,"59575,438"
13008052002,"79902,836"
13008392002,"35090,449"
13009042002,"17772,641"
13010012002,"75824,728"
13011002002,"66629,738"
13011592002,"160411,534"
13012092002,"867190,331"
13013082002,"62901,464"
13014072002,"59044,883"
13015062002,"29073,287"
13016052002,"66629,642"
13016542002,"26049,902"
13017042002,"63209,369"
13018032002,"24117,322"
13018522002,"107620,475"
13019022002,"253402,175"
13019512002,"17240,082"
13020092002,"17607,863"
13021082002,"13798,095"
13022072002,"13437,481"
13023062002,"49341,522"
13024052002,"55950,49"
13025042002,"320546,78"
13025532002,"29246,617"
